epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,7100.22,1.61622,1.60147,1.80792,0.5644,0.56158,0.57217,0.28181,1.74013,1.62319,1.91557,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,7313.11,1.62109,1.5867,1.80133,0.56068,0.57735,0.56965,0.2768,1.73839,1.6055,1.9299,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,7526.02,1.60869,1.56838,1.78872,0.58822,0.57622,0.58838,0.28953,1.73556,1.61408,1.92447,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7742.45,1.60664,1.5593,1.79365,0.59174,0.57619,0.58041,0.28775,1.74446,1.59589,1.91946,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7952.34,1.60276,1.54143,1.77615,0.59604,0.57336,0.57617,0.28633,1.73786,1.59123,1.91609,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,8164.26,1.59325,1.52441,1.77967,0.58144,0.57436,0.58793,0.29262,1.72354,1.57888,1.89703,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,8374.41,1.58567,1.50836,1.77135,0.59258,0.56206,0.58821,0.29175,1.73908,1.5914,1.91654,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,8586.86,1.58333,1.50492,1.77031,0.58057,0.57948,0.59101,0.28834,1.7392,1.57347,1.9217,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,8801.57,1.57599,1.48266,1.7617,0.62069,0.57954,0.60136,0.29356,1.73768,1.55536,1.90735,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,9012.4,1.5722,1.45458,1.75423,0.57437,0.599,0.60219,0.29912,1.73389,1.552,1.91264,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,9229.86,1.56039,1.44946,1.74814,0.61379,0.58798,0.60984,0.30066,1.72444,1.55491,1.90038,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,9443.26,1.55333,1.44137,1.73701,0.59417,0.58042,0.6096,0.29951,1.73355,1.55338,1.90706,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,9658.53,1.55183,1.43214,1.73616,0.60355,0.59249,0.60302,0.29666,1.74692,1.54402,1.91876,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,9874.82,1.54453,1.41521,1.73195,0.59795,0.57886,0.60443,0.2986,1.73961,1.54448,1.91237,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,10094.3,1.53621,1.41062,1.72916,0.60248,0.57966,0.60313,0.30014,1.73832,1.54733,1.9136,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,10308.6,1.5324,1.38253,1.71553,0.61947,0.57561,0.60749,0.30088,1.7418,1.5359,1.91225,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,10521.6,1.53487,1.38196,1.70971,0.60348,0.60891,0.61592,0.30552,1.72494,1.51977,1.89747,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,10737.6,1.52442,1.36991,1.71205,0.61624,0.59781,0.61711,0.30324,1.73825,1.51727,1.91094,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,10954.6,1.51031,1.34679,1.69462,0.60002,0.59167,0.61073,0.30109,1.74276,1.52651,1.91704,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,11170.8,1.50505,1.34049,1.69445,0.62681,0.58141,0.62023,0.30531,1.74205,1.51229,1.90824,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,11383.2,1.49624,1.32802,1.68669,0.58395,0.60657,0.6114,0.3036,1.74664,1.51423,1.92034,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,11601.4,1.49449,1.31256,1.67996,0.60475,0.60197,0.61833,0.30587,1.75209,1.51591,1.92057,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,11818,1.48649,1.30418,1.67469,0.59828,0.59273,0.60642,0.30096,1.76121,1.52326,1.93203,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,12034.7,1.48219,1.29583,1.67484,0.60879,0.58443,0.61409,0.30046,1.76287,1.52592,1.93764,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,12247.8,1.48252,1.2872,1.66598,0.61652,0.58917,0.61656,0.30507,1.75515,1.51758,1.92872,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,12464.1,1.47068,1.26394,1.66388,0.59458,0.60742,0.61248,0.30261,1.75427,1.5176,1.92871,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,12680,1.46103,1.2584,1.65289,0.6204,0.5944,0.62609,0.30679,1.74758,1.51372,1.92584,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,12889.7,1.459,1.257,1.65506,0.62552,0.59877,0.62087,0.30854,1.74853,1.5113,1.92766,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,13103.6,1.44306,1.23929,1.6382,0.59711,0.61365,0.61811,0.30524,1.7616,1.50624,1.94206,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,13316.4,1.44534,1.23319,1.64188,0.60035,0.61267,0.62582,0.3107,1.76411,1.50991,1.93675,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,13526.5,1.42923,1.20342,1.63065,0.60499,0.6156,0.62186,0.30544,1.77471,1.50808,1.95023,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,13738.8,1.43101,1.21024,1.62698,0.61834,0.59245,0.62018,0.30922,1.76814,1.50184,1.95239,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,13949.1,1.42158,1.18558,1.61994,0.60534,0.5951,0.62011,0.3077,1.77259,1.5057,1.95054,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,14161.8,1.40657,1.17249,1.61102,0.60231,0.61369,0.62011,0.30751,1.77652,1.50754,1.95664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,14372.6,1.4104,1.16773,1.61307,0.61051,0.59089,0.62287,0.30768,1.77604,1.52221,1.95748,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,14585.8,1.40475,1.16175,1.60925,0.60442,0.60558,0.62239,0.30664,1.77844,1.51019,1.96184,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,14797,1.38789,1.13771,1.59076,0.61024,0.60721,0.62147,0.30469,1.7798,1.5143,1.96273,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,15008.9,1.38352,1.12957,1.58646,0.62859,0.60228,0.6228,0.30465,1.78296,1.51403,1.96353,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,15219,1.38076,1.12717,1.58083,0.62839,0.58262,0.6175,0.30421,1.78586,1.51497,1.9646,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,15432.3,1.38009,1.12091,1.57724,0.62348,0.59592,0.61888,0.304,1.79144,1.51197,1.97685,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,15642,1.36813,1.11076,1.57286,0.63985,0.57778,0.61935,0.30503,1.79481,1.51575,1.9889,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,15855.7,1.36002,1.10292,1.57374,0.6285,0.5886,0.61924,0.30317,1.79187,1.51723,1.98632,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,16070.3,1.34599,1.08299,1.55959,0.61292,0.60401,0.61374,0.30168,1.79049,1.52521,1.98719,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,16283.9,1.34245,1.07528,1.55172,0.60258,0.61492,0.61362,0.3004,1.79454,1.5308,1.99523,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,16495.5,1.34094,1.0648,1.54155,0.61968,0.59516,0.61398,0.30273,1.80065,1.53203,2.00018,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,16706.2,1.33186,1.05978,1.5446,0.60865,0.60718,0.61575,0.30323,1.80097,1.53693,2.00289,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,16919,1.32213,1.04241,1.53211,0.62206,0.60458,0.6137,0.30236,1.80855,1.53935,2.0136,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,17129,1.31862,1.03561,1.52985,0.60631,0.60851,0.60975,0.30238,1.80927,1.54109,2.01431,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,17342,1.3061,1.02003,1.52012,0.62834,0.59738,0.60978,0.30051,1.81462,1.54835,2.02021,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,17553.3,1.29905,1.01057,1.51444,0.64258,0.59203,0.61249,0.3004,1.81596,1.5448,2.02339,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
