epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7769.46,1.19949,0.65867,1.20276,0.94575,0.59198,0.6333,0.41493,1.27595,0.60879,1.26031,0.000848969,0.000848969,0.000848969
43,7932.68,1.17289,0.64456,1.19262,0.94259,0.60237,0.63413,0.41415,1.2708,0.60782,1.26733,0.000834822,0.000834822,0.000834822
44,8085.22,1.1874,0.64009,1.18915,0.94484,0.59689,0.63041,0.41248,1.27455,0.61239,1.25831,0.000820675,0.000820675,0.000820675
45,8279.1,1.18315,0.65285,1.1948,0.94416,0.59525,0.63197,0.41355,1.27379,0.62016,1.26721,0.000806528,0.000806528,0.000806528
46,8419.19,1.179,0.63659,1.1892,0.94323,0.60168,0.63506,0.41717,1.28913,0.60223,1.26531,0.00079238,0.00079238,0.00079238
47,8567.59,1.16821,0.63667,1.18535,0.95211,0.59149,0.63184,0.41273,1.2689,0.60521,1.26233,0.000778233,0.000778233,0.000778233
48,8708.71,1.16554,0.63273,1.17973,0.95365,0.5915,0.63759,0.41429,1.2734,0.60203,1.26543,0.000764086,0.000764086,0.000764086
49,8840.02,1.16672,0.62237,1.17767,0.70949,0.60418,0.63695,0.41798,1.26792,0.60552,1.25738,0.000749939,0.000749939,0.000749939
50,8972.02,1.15644,0.62394,1.17843,0.62502,0.61773,0.6348,0.42019,1.26307,0.60489,1.26148,0.000735792,0.000735792,0.000735792
51,9105.5,1.16926,0.62691,1.17898,0.94674,0.59382,0.63378,0.41695,1.27076,0.60983,1.25897,0.000721645,0.000721645,0.000721645
52,9280.36,1.15516,0.61267,1.17739,0.9461,0.59711,0.6343,0.41719,1.27755,0.61003,1.27227,0.000707498,0.000707498,0.000707498
53,9459.62,1.1469,0.60944,1.16888,0.95636,0.59007,0.6298,0.41774,1.28511,0.60674,1.26768,0.000693351,0.000693351,0.000693351
54,9666.42,1.13731,0.61497,1.17107,0.61056,0.59816,0.63296,0.41601,1.27891,0.60361,1.26249,0.000679204,0.000679204,0.000679204
55,9832.34,1.15772,0.60848,1.16847,0.62016,0.59156,0.63371,0.4155,1.28225,0.59578,1.26458,0.000665057,0.000665057,0.000665057
56,10106.3,1.13974,0.60794,1.16651,0.66585,0.60632,0.63343,0.41771,1.27226,0.61478,1.26806,0.000650909,0.000650909,0.000650909
57,10261.3,1.13538,0.60117,1.16506,0.61819,0.59489,0.63102,0.41693,1.27589,0.60141,1.26359,0.000636762,0.000636762,0.000636762
58,10415.3,1.13188,0.60117,1.16385,0.95586,0.5878,0.63059,0.41535,1.27613,0.59995,1.26611,0.000622615,0.000622615,0.000622615
59,10628.4,1.12722,0.58992,1.15921,0.67427,0.60485,0.63307,0.41603,1.27713,0.60012,1.26255,0.000608468,0.000608468,0.000608468
60,10799.4,1.1308,0.59712,1.16297,0.61316,0.596,0.63218,0.41563,1.27646,0.59504,1.26914,0.000594321,0.000594321,0.000594321
