epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,10971.4,1.95252,3.38649,2.33081,1.52275,0,0.36058,0.26478,0.22643,0.10462,0.31712,0.21795,0.16652,0.05378,1.88429,3.19567,2.18505,1.51363,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,11441.8,1.95442,3.38839,2.32925,1.52032,0,0.35969,0.26301,0.22686,0.10503,0.31822,0.21733,0.1667,0.05386,1.88006,3.19105,2.18145,1.50993,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,11913.1,1.94723,3.37876,2.31515,1.5129,0,0.36056,0.26413,0.22707,0.10515,0.31939,0.2177,0.16734,0.05389,1.87748,3.18877,2.17769,1.50768,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,12383.6,1.94021,3.37154,2.31177,1.51384,0,0.36184,0.26466,0.22892,0.10613,0.32141,0.21825,0.16935,0.05449,1.87483,3.1849,2.17349,1.50569,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,12854.8,1.93809,3.36176,2.30356,1.50799,0,0.36379,0.26702,0.2305,0.10678,0.32366,0.21875,0.17103,0.05471,1.87259,3.18236,2.17126,1.50404,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,13326.3,1.93646,3.36173,2.298,1.50995,0,0.36269,0.2695,0.23172,0.10759,0.32269,0.22046,0.1718,0.05509,1.87148,3.18072,2.16725,1.50371,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,13796.8,1.93144,3.36167,2.29246,1.50591,0,0.36702,0.26981,0.23274,0.10824,0.3215,0.22154,0.17208,0.05547,1.86912,3.17802,2.16293,1.502,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,14268.4,1.93694,3.35713,2.28954,1.50195,0,0.36577,0.27257,0.23412,0.10885,0.32154,0.22322,0.17313,0.05577,1.8666,3.17651,2.16,1.49981,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,14772.3,1.92661,3.34703,2.27338,1.49863,0,0.36898,0.27167,0.23513,0.10921,0.32314,0.2234,0.17383,0.05606,1.86426,3.17438,2.1572,1.49863,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,15307.6,1.92278,3.34373,2.26927,1.49716,0,0.36901,0.27205,0.23573,0.10968,0.32404,0.22477,0.17463,0.05651,1.86271,3.17283,2.15553,1.49757,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,15787.5,1.92551,3.34315,2.27072,1.49671,0,0.37205,0.26976,0.23619,0.11004,0.32489,0.22541,0.17489,0.05659,1.86157,3.17146,2.15357,1.49647,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,16268.4,1.92353,3.34156,2.26845,1.49413,0,0.37515,0.27086,0.23705,0.11036,0.32645,0.22448,0.17489,0.05679,1.85969,3.17006,2.15115,1.49492,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,16747.1,1.91332,3.32666,2.26088,1.49127,0,0.37411,0.27275,0.23761,0.11057,0.32605,0.22565,0.17569,0.05723,1.85822,3.16865,2.14923,1.49363,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,17225.3,1.91348,3.33234,2.25185,1.48678,0,0.3749,0.27302,0.23823,0.11095,0.32751,0.22508,0.17619,0.05716,1.85673,3.16735,2.14734,1.49241,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,17740.3,1.91014,3.31455,2.24396,1.48576,0,0.37267,0.27455,0.23877,0.11121,0.32573,0.2278,0.17737,0.05756,1.85551,3.16612,2.14526,1.49121,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,18294.9,1.90779,3.32314,2.23961,1.4817,0,0.37539,0.2738,0.23975,0.11173,0.32722,0.2289,0.17784,0.05782,1.85415,3.16435,2.14299,1.48973,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,18967.2,1.90586,3.31683,2.23659,1.48187,0,0.37585,0.2738,0.24023,0.11206,0.3322,0.22773,0.17872,0.05811,1.8526,3.16304,2.14047,1.48843,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,19602.5,1.90218,3.30845,2.23021,1.47655,0,0.37683,0.27423,0.24098,0.11265,0.33346,0.22869,0.17948,0.05843,1.85109,3.16093,2.13809,1.48678,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,20110.2,1.89734,3.30615,2.22023,1.47489,0,0.37448,0.27632,0.24062,0.11274,0.33263,0.23076,0.18043,0.05872,1.84972,3.15945,2.13614,1.48541,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,20675.2,1.8987,3.3037,2.22228,1.47209,0,0.37655,0.27638,0.24147,0.11324,0.33567,0.23195,0.18108,0.05892,1.84807,3.1579,2.13374,1.48403,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,21347.8,1.89521,3.29463,2.21697,1.46967,0,0.37723,0.27677,0.24248,0.11365,0.33952,0.22959,0.18152,0.05919,1.84643,3.15751,2.13216,1.48238,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,22009.1,1.889,3.29581,2.20639,1.46667,0,0.3801,0.2769,0.24288,0.1141,0.33662,0.2305,0.1815,0.05938,1.84514,3.15608,2.13036,1.48114,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,22672.5,1.88822,3.29171,2.20457,1.46473,0,0.37971,0.27715,0.24383,0.11466,0.33601,0.23014,0.18218,0.05953,1.84357,3.15427,2.1283,1.47978,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,23347.5,1.88655,3.28595,2.20062,1.46235,0,0.38137,0.27723,0.24417,0.11494,0.33566,0.23086,0.18271,0.05965,1.84258,3.1533,2.12663,1.47833,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,24018.4,1.88138,3.28383,2.19389,1.46395,0,0.38192,0.279,0.24556,0.11535,0.33454,0.23175,0.1826,0.05987,1.84148,3.15106,2.12521,1.47741,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,24688.5,1.88206,3.27474,2.18374,1.46077,0,0.38429,0.27971,0.24689,0.11612,0.33549,0.23209,0.18351,0.0602,1.84074,3.15081,2.123,1.47644,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,25353.9,1.87973,3.27247,2.17899,1.4574,0,0.38213,0.2804,0.2472,0.11635,0.33585,0.23227,0.18468,0.06054,1.83969,3.14934,2.12094,1.47536,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,26033.9,1.87695,3.26947,2.18034,1.4563,0,0.38323,0.28214,0.24771,0.11671,0.33832,0.23187,0.18502,0.06064,1.83842,3.14837,2.11889,1.47381,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,26708.2,1.87353,3.26894,2.17085,1.45574,0,0.38631,0.28122,0.24833,0.11717,0.33671,0.23286,0.18555,0.06083,1.83689,3.14654,2.11651,1.47291,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,27377.3,1.8736,3.25699,2.16811,1.44882,0,0.3858,0.2806,0.24862,0.11767,0.33938,0.23408,0.18631,0.06111,1.8358,3.14486,2.11443,1.47175,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,28045.2,1.8691,3.25865,2.16198,1.44715,0,0.38497,0.28195,0.24943,0.11803,0.3404,0.23456,0.18691,0.0615,1.83557,3.14323,2.11314,1.47109,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,28730.5,1.86236,3.24813,2.15009,1.44684,0,0.38706,0.28238,0.25,0.11841,0.34087,0.23589,0.18729,0.06156,1.83512,3.14209,2.11181,1.4703,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,29407.7,1.86144,3.25174,2.15407,1.44524,0,0.38541,0.2834,0.25045,0.11887,0.34265,0.23637,0.18813,0.06192,1.83443,3.14064,2.11027,1.46953,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,30073.5,1.8582,3.23644,2.14462,1.44167,0,0.38669,0.28354,0.2512,0.11919,0.34229,0.23596,0.18872,0.06199,1.834,3.13902,2.10858,1.46859,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,30736.1,1.85308,3.24394,2.13943,1.44122,0,0.38672,0.28532,0.25211,0.11962,0.34482,0.23621,0.18905,0.0623,1.83313,3.13758,2.10655,1.46755,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,31410,1.85183,3.23283,2.13106,1.43703,0,0.3904,0.28577,0.25237,0.11995,0.34706,0.23627,0.18931,0.06242,1.83207,3.13634,2.10532,1.46611,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,32084,1.85352,3.2321,2.13235,1.4406,0,0.39046,0.28658,0.25302,0.12058,0.34941,0.23629,0.19048,0.06278,1.83069,3.13476,2.10345,1.46453,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,32752.5,1.84645,3.22432,2.11814,1.43471,0,0.39024,0.28758,0.25365,0.12075,0.35001,0.2381,0.19071,0.06296,1.82948,3.13349,2.10236,1.46326,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,33413.6,1.84465,3.21719,2.1173,1.43025,0,0.39242,0.2872,0.25427,0.12093,0.34982,0.23862,0.19077,0.06299,1.82809,3.13297,2.10055,1.46177,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,34073.5,1.84086,3.21659,2.10935,1.42569,0,0.39335,0.2868,0.2547,0.12139,0.34856,0.2391,0.19137,0.06323,1.82688,3.13124,2.09903,1.46025,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,34749.9,1.84093,3.21255,2.10426,1.42861,0,0.39529,0.28635,0.25533,0.12163,0.34881,0.23886,0.19179,0.06339,1.82611,3.13035,2.09729,1.45907,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
